SI,Title,Type,Authors,ISBN,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
TEVGE23Q,Architecture: Nineteenth and Twentieth Centuries,Books,"Hitchcock, Henry-Russel",,1987,Yale University Press,,ARCHITECTURE,,,,,1987,,,,
V39QXDMB,Built in USA: Post-war Architecture,Books,"Hitchcock, Henry-Russell and Dexler",,,Museum of Modern Art,,ARCHITECTURE,,,,,,,,,
FKLPCAZV,A Century of Women Landscape Architects and Gardeners in Pittsburgh,Books,"Hull, Judith S.",,1996,Heinz Architectural Center,,ARCHITECTURE,,,,,1996,,,,
QJND6VHS,Modern Architiecture: A Critical History,Books,"Frampton, Kenneth",,1992,Thames & Hudson,,ARCHITECTURE,,,,,1992,,,,
9G3G48T6,Chartres Cathedral,Books,"Branner, Robert",,1969,Norton,,ARCHITECTURE,New York,Cathédrale de Chartres,Norton critical studies in art history,1st ed.,1969,,,278,
N58V37VQ,An Eye for Architecture,Books,"Ferguson, Louise King",,1982,Pittsburgh History and Landmarks Foundation,,ARCHITECTURE,,,,,1982,,,,
TS7NT937,The Architecture Handbook: A Student Guide to Understanding Buildings,Books,"Masengarb, Jennifer and Rehbein",,2007,Chicago Architecture Foundation,,ARCHITECTURE,,,,,2007,,,,
9FW4M2RX,A Concise History of Modern Sculpture,Books,"Read, Herbert",,,,,Sculpture,,,,,,,,,
JTIIACFP,Three Decades of Sculpture by Tillie Speyer,Books,0,,1978,"Museum of Art, Carnegie Institute",,Sculpture,,,,,1978,,,,
DKFP9RRE,,Books,0,,,,,Sculpture,,,,,,,,,
GGYXRRKH,"Six in bronze: Anthony Caro, Sandro Chia, Nancy Graves, Bryan Hunt, George Segal, Issac Witkin: an exhibition",Books,0,,1983,Williams College Museum of Art,,Sculpture,"Williamstown, Mass","Exhibitions; 20th century; Bronzes, American",,,1983,,,30,
UA9Y3YXE,Folds Blobs + Boxes,Books,"Rosa, Joseph",,2001,Carnegie Museum of Art,,Architecture,,,,,2001,,,,
NZKB6VV9,Sculpture of Antoine Bourdelle,Books,0,,1970,Hirschl and Adler Galleries Inc,,Sculpture,New York City,,,,1970,,,,
JPPF49ZC,Breaking The Mold Sculpture in Paris from Daumier to Rodin,Books,Phillip Dennis Cate  -  Editor,,2005,"Jane Voorhees Zimmerli Art Museum Rutgers,The State University of New Jersey",,Sculpture,,,,,2005,,,,
U6CLSWU6,Beyond Modern Sculpture,Books,"Burnham, Jack",,1982,George Braziller,,Sculpture,,,,,1982,,,,
9WUI4GQC,"Cubism and American photography, 1910-1930",Books,"Pultz, John; Scallen, Catherine B.; Sterling and Francine Clark Art Institute",,1981,Sterling and Francine Clark Art Institute,,PHOTOGRAPHY,"Williamstown, Mass","Exhibitions; Photography, Artistic; Cubism",,,1981,,,77,
YEI6JVMS,The Photographer and the American landscape,Books,0,,1963,Museum of Modern Art ; Distributed by Doubleday,,PHOTOGRAPHY,"New York : Garden City, N.Y","Biography; United States; Photography, Artistic; Photographers; Landscape photography",,,1963,,,48,
MNTTYPEX,The photographs of Jacques Henri Lartigue,Books,0,,,,,ARTIST - L,1963,,The Museum of Modern Art Bulletin,,,,,1,
Y5VFDUA7,The painter and the photograph: from Delacroix to Warhol,Books,"Coke, Van Deren",,1972,University of New Mexico Press,,PHOTOGRAPHY,Albuquerque,Exhibitions; Painting; Photography; Painting from photographs,,Rev. and enl. ed.,1972,,,324,
I6JVYY7A,album of photography techniques,Books,"Adkins, John",,,,,PHOTOGRAPHY,,,,,,,,,
ERPVXB5F,"Fifty treasures of the Dayton Art Institute: Published to commemorate the fiftieth anniversary of the Dayton Art Institute, February 28, 1969",Books,0,,1969,,,CATALOGUE,[Dayton,Art; Catalogs; Ohio Dayton,,,1969,,,146,
AUJCR4CZ,The Permanent Collection: The Westmoreland County Museum of American Art,Books,"Chew, Paul A. and Russell",,1978,Westmoreland Museum of American Art,,CATALOGUE,,,,,1978,,,,
PT26IPRP,Treasures of the Frick Art Museum,Books,0,,1975,The Museum,,CATALOGUE,Pittsburgh,"Art; Pennsylvania Pittsburgh; Frick Art Museum (Pittsburgh, Pa.)",,,1975,,,123,
UTW9TH4G,Apollo: The Frick Collection,Books,"Sutton, Denys",,1971,Apollo Magazine Ltd,,CATALOGUE,,,,,1971,,,,
Z8Y5S627,"History of The Henry Clay Frick Fine Arts Department, The University Art Gallery, The Frick Fine Arts Library at the University of Pittsburgh 1927-1987",Books,"Haskins, John F. et al",,1987,Friends of the Frick Fine Arts,,CATALOGUE,,,,,1987,,,,
ZHETMZ2P,Associated Artists of Pittsburgh: 100th Annual Exhibition,Books,"Zimbicki, Kathleen et al",,2010,Associated Artists of Pittsburgh,,CATALOGUE,,,,,2010,,,,
Y296RUSU,The Associated Artists of Pittsburgh: 1910-1985 The First Seventy-Five Years,Books,"Wood, Teresa DallaPiccola et al",,1985,Associated Artists of Pittsburgh,,CATALOGUE,,,,,1985,,,,
USW9SK9P,Associated Artists of Pittsburgh 98th Annual Exhibition,Books,"Beachley, Pati et al",,2008,Associated Artists of Pittsburgh,,CATALOGUE,,,,,2008,,,,
JUBN9UIU,Associated Artists of Pittsburgh 46th Annual Exhibition,Books,0,,1956,Associated Artists of Pittsburgh,,CATALOGUE,,,,,1956,,,,
PZVS6UU9,Associated Artists of Pittsburgh 1955,Books,0,,1955,Associated Artists of Pittsburgh,,CATALOGUE,,,,,1955,,,,
NVKV55EX,Associated Artists of Pittsburgh 43rd Annual Exhibition 1953,Books,0,,1953,Associated Artists of Pittsburgh,,CATALOGUE,,,,,1953,,,,
DYT64P9B,Associated Artists of Pittsburgh Ninety-Ninth Annual Exhibition,Books,"Spangler, Kitty et al",,2009,Associated Artists of Pittsburgh,,CATALOGUE,,,,,2009,,,,
N878UYUD,"Pittsburgh corporations collect: inaugural exhibition of the Heinz Galleries, Museum of Art, Carnegie Institute, October 25, 1975-January 4, 1976",Books,0,,1976,The Galleries,,CMoA CATALOGUE,Pittsburgh,"Exhibitions; 20th century; Art, Modern; Art collections Exhibitions; Pennsylvania Pittsburgh; Corporations",,,1976,,,63,
XZYSY52H,"Monticelli, his contemporaries, his influence",Books,"Sheon, Aaron; Monticelli, Adolphe; Carnegie Institute",,1978,"Museum of Art, Carnegie Institute",,CMoA CATALOGUE,Pittsburgh,"19th century; Painting, French; Exhibitions; Influence; Monticelli, Adolphe",,,1978,,,240,
QGEGGJW3,"Light! The Industrial Age 1750-1900 Art & Science, Technology & Society",Books,"Bluhm, Andreas and Lippincott",,2000,Carnegie Museum of Art,,CMoA CATALOGUE,,,,,2000,,,,
WZWLADMH,"A Century of American Landscape Painting 1800-1900: March 22 - April 30 Galleries E, F, and G MCMXXXIX",Books,"Goodrich, Lloyd",,1939,Carnegie Institute,,CMoA CATALOGUE,,,,,1939,,,,
FN4ET2AH,A Century of Women Landscape Architects and Gardeners in Pittsburgh,Books,"Hull, Judith S.",,1996,Heinz Architectural Center,,CMoA CATALOGUE,,,,,1996,,,,
HGMQKPMT,Yörük: the Nomadic weaving tradition of the Middle East,Books,0,,1978,"Museum of Art, Carnegie Institute",,CMoA CATALOGUE,Pittsburgh,"Exhibitions; Rugs, Yuruk",,,1978,,,144,
JHNLV4GH,Jean Dewasne in USA 1975/76,Books,0,,1975,Rikard Hendriksen,,CMoA CATALOGUE,,,,,1975,,,,
SZ3WCRB5,2020 Gallery Guide: The Studio Museum in Harlem and Carnegie Museum of Art,Books,0,,2020,Carnegie Museum of Art,,CMoA CATALOGUE,,,,,2020,,,,
QCSN6229,Printmaking in the service of Botany: Catalogue of an Exhibition,Books,0,,1986,Hunt Institute for Botanical Documentation,,Printmaking,,,,,1986,,,,
RZHNULIE,Prints,Books,"Karshan, Donald",,1980,Smithsonian Institution,,Printmaking,,,,,1980,,,,
5IUNGF6M,Prints and People: A Social History of Printed Pictures,Books,"Mayor, A. Hyatt",,1971,Princeton University Press,,Printmaking,,,,,1971,,,,
B5S2C75P,The Other Side of History: Daily Life in the Ancient World,Books,"Garland, Robert",,2012,The Teaching Company,,Ancient,,,,,2012,,,,
FP9L874S,Cezanne: Form,Books,"Ramuz, C. F.",,,"French and European Publications, Inc",,Artist,Switzerland,,,,,,,,
66RTZZSU,The Alisa Mellon Bruce Collection in Carnegie Museum of Art,Books,0,,1971,Art and Nature Shop of Carnegie Institute,,CMA Catalog,,,,,1971,,,,
BDDULZCI,Manchester A neighborhood Sketchbook,Books,0,,1998,"Heinz Architectural Center, Carnegie Museum of Art",,CMA Catalog,,,,,1998,,,,
VCRKYA9B,Whistler Impressions of an American Abroad: Etchings and Lithographs from the Carnegie Museum of Art,Books,0,,1997,The American Federation of the Arts,,CMA Catalog,,,,,1997,,,,
4AABQYHR,Black Basaltes Ware- The Speyer Collection,Books,0,,,,,CMA Catalog,,,,,,,,,
K5UCDUMN,"Pittsburgh Architecture, C. 1990: A Celebration of Contemporary Architecture in Western Pennsylvania",Books,0,,1990,,,CMA Catalog,,,,,1990,,,,
N3MHA8CB,Directions in American Painting,Books,0,,1941,Carnegie Institute Pittsburgh,,CMA Catalog,,,,,1941,,,,
4W98J6PW,Painting in the United States,Books,0,,1943,Carnegie Institute Pittsburgh,,CMA Catalog,,,,,1943,,,,
7SVZPTEQ,Painting in the United States 1945,Books,0,,1945,Carnegie Institute Pittsburgh,,CMA Catalog,,,,,1945,,,,
PF3J2VXH,Painting in the United States 1948,Books,0,,1948,Carnegie Institute Pittsburgh,,CMA Catalog,,,,,1948,,,,
3S5MFL2Z,Painting in the United States 1946,Books,0,,1946,Carnegie Institute Pittsburgh,,CMA Catalog,,,,,1946,,,,
7XY2GDYS,Painting in the United States 1949,Books,0,,1949,Carnegie Institute Pittsburgh,,CMA Catalog,,,,,1949,,,,
JM8G2UWT,The Seashore: Paintings of the 19th and 20th Centuries,Books,0,,1965,"Museum of Art, Carnegie Institute",,CMA Catalog,,,,,1965,,,,
JUZCVE3L,French Painting 1100-1900,Books,0,,1951,Department of Fine Arts Carnegie Institute,,CMA Catalog,,,,,1951,,,,
RKTV2EWE,Fresh Air School: An Exhibition of Paintings,Books,0,,1972,Museum of Art Carnegie Institute,,CMA Catalog,,,,,1972,,,,
PZNHDVSK,Celebration: Inaugural Exhibition of the Scaife Gallery of the Museum of Art Carnegie Institute 1974/75,Books,0,,1975,Carnegie Institute Pittsburgh,,CMA Catalog,,,,,1975,,,,
IDHJEJZW,The Carnegie,Books,"Wilson, Ellen S.",,1992,Thames & Hudson,,NON-CIRCULATING REFERENCE,,,,,1992,,,,
TQPH6KKB,Seaport: New York's History Magazine: Legendary Interiors and Illustrious Travelers Aboard the SS Normandie,Books,0,,2010,South Street Seaport Museum,,NON-CIRCULATING REFERENCE,,,,,2010,,,,
7EU559UX,1955 Pittsburgh International Exhibition of Contemporary Painting,Books,Carnegie Museum of Art,,1955,Carnegie Museum of Art,,CI CATALOG,,,,,1955,,,,
7AV8SVDD,"Pittsburgh International Exhibition of Paintings: Carnegie Institute October 19 - December 21, 1950",Books,Carnegie Institute,,1950,Carnegie Institute,,CI CATALOG,,,,,1950,,,,
6QN7WMVY,Pittsburgh International: 1970,Books,"Museum of Art, Carnegie Institute",,1970,Carnegie Institute,,CI CATALOG,,,,,1970,,,,
8RG4UMNS,The 1964 Pittsburgh International: Exhibition of Contemporary Painting and Sculpture,Books,"Museum of Art, Carnegie Institute",,1964,Carnegie Institute,,CI CATALOG,,,,,1964,,,,
XSWQ43RY,The 1961 Pittsburgh International Exhibition of Contemporary Painting and Sculpture,Books,"Department of Fine Arts, Carnegie Institute",,1961,Carnegie Institute,,CI CATALOG,,,,,1961,,,,
GQYVLC5T,Carnegie International 1982,Books,"Baro, Gene",,1982,Carnegie Institute,,CI CATALOG,,,,,1982,,,,
3DD2W7XW,Carnegie International 1985,Books,"Lane, John R. and Caldwell",,1985,Carnegie Institute,,CI CATALOG,,,,,1985,,,,
QNX4XLD4,Carnegie International 1985: Supplement,Books,Carnegie Museum of Art,,1985,Carnegie Institute,,CI CATALOG,,,,,1985,,,,
2BEBIKTS,Carnegie International 2013: Gallery Guide,Books,"Baumann, Daniel; Byers",,2013,Carnegie Museum of Art,,CI CATALOG,,,,,2013,,,,
XA9VBN6N,54th Carnegie International: Gallery Guide,Books,Carnegie Museum of Art,,2004,Carnegie Museum of Art,,CI CATALOG,,,,,2004,,,,
RR9C87NQ,Life on Mars: 2008 Carnegie International Gallery Guide,Books,"Fogle, Douglas",,2008,Carnegie Museum of Art,,CI CATALOG,,,,,2008,,,,
9M7TVNEQ,Connections to Looking: A Visitors Guide to the 1991 Carnegie International,Books,Carnegie Museum of Art,,1991,Carnegie Museum of Art,,CI CATALOG,,,,,1991,,,,
49WHIM7A,Carnegie International: 1988 Supplement,Books,Carnegie Museum of Art,,1988,Carnegie Museum of Art,,CI CATALOG,,,,,1988,,,,
GGTQH3GX,CI:99/00: Carnegie International 1999/2000: Gallery Guide,Books,Carnegie Museum of Art,,1999,Carnegie Museum of Art,,CI CATALOG,,,,,1999,,,,
CJ9YHRBQ,2013 Carnegie International Gallery Guide,Books,"Baumann, Daniel; Byers",,2013,Carnegie Museum of Art,,CI CATALOG,,,,,2013,,,,
8DETCSLP,Ordinary Madness: A Pocket Guide,Books,"Byers, Dan",,2010,Carnegie Museum of Art,,CMoA CATALOGUE,,,,,2010,,,,
CCELFJXM,Praeger encyclopedia of art,Books,0,,1971,Praeger Publishers,,GENERAL REFERENCE,New York,Art; Artists; Dictionaries,,,1971,,,5,
7B2F988D,Carnegie Museum Hall of Architecture Images: DVD,Books,"Little, Tom",,2007,Carnegie Museum of Art,,GENERAL CMoA/PGH,,,,,2007,,,,
YJK4JW5D,The Craftsman's Handbook,Books,"Cennini, Cennino D'Andrea",,1933,"Dover Publications, Inc",,GENERAL METHODS/TECHNIQUES,,,,,1933,,,,
L3XYIB4S,Perspective,Books,"Vredeman de Vries, Jan",,1968,"Dover Publications, Inc",,GENERAL METHODS/TECHNIQUES,,,,,1968,,,,
IX979CEB,"Mold Making, Casting and Patina: For the Student Sculptor",Books,"Barrie, Bruner Felton",,1992,"Adams, Barrie, Felton, and Scott Publishing",,GENERAL METHODS/TECHNIQUES,,,,,1992,,,,
39AQH974,The Encyclopedia of Printmaking Techniques,Books,"Martin, Judy",,1993,Search Press Ltd,,GENERAL METHODS/TECHNIQUES,,,,,1993,,,,
LK62NBMJ,Materials and Techniques of 20th-Century Artisits,Books,"Driscole, Dee and Ross",,1976,Cleveland Museum of Art,,GENERAL METHODS/TECHNIQUES,,,,,1976,,,,
QD7LHDYF,Framing Modern Masters: A Conversation with Heinz Berggruen,Books,0,,1991,"Arnold Wiggins and Sons, LTD",,GENERAL METHODS/TECHNIQUES,,,,,1991,,,,
WNQ9YUC4,Paintings and Graphic Images of Industry in Nineteenth Century Pittsburgh: A Study of the Relationship Between Art and Industry,Books,"Youngner, Rina C.",,1991,UMI Dissertation Services,,GENERAL CMoA/PGH,,,,,1991,,,,
RKCZHNQ7,"Kid's Guide: Hall of Architecture, Carnegie Museum of Art",Books,"Klug, Dave and Little",,,Carnegie Museum of Art,,GENERAL CMoA/PGH,,,,,,,,,
TPKBNK7W,Pittsburgh Art in Public Places: Downtown Walking Tour,Books,"Piechocki, Renee",,2013,Office of Public Art,,GENERAL CMoA/PGH,,,,,2013,,,,
GBE85P5X,"Art in Nineteenth Century Pittsburgh: An Exhibition Selected by The University Art Gallery, University of Pittsburgh",Books,"McCullough, Jean",,1977,McCullough Communications,,GENERAL CMoA/PGH,,,,,1977,,,,
P5WMU45D,The Stories You Tell,Books,0,,2017,Carnegie Museum of Art,,CMoA CATALOGUE,,,,,2017,,,,
VUA4N4LB,Studies in Art Education: A Journal of Issues and Research in Art Education,Books,0,,2008,The National Art Education Association,,Docent/Museum Education,,,,,2008,,,,
GLD6YTRG,Museum School Partnerships: Plans and Programs Source Book #4,Books,"Lehman, Susan Nichols and Igoe",,1981,Center for Museum Education,,Docent/Museum Education,,,,,1981,,,,
2ZXDI8MB,Where's the Me in Museum? Going to Museums with Children,Books,"Waterfall, Milde and Grusin",,1989,Vandamere Press,,Docent/Museum Education,,,,,1989,,,,
KWG3GNQK,Exhibiting Cultures: The Poetics and Politics of Museum Display,Books,"Karp, Ivan and Lavine",,1991,Smithsonian Institution Press,,Docent/Museum Education,,,,,1991,,,,
L36TC43Z,Exhibitions in Museums,Books,"Belcher, Michael",,1991,Smithsonian Institution Press,,Docent/Museum Education,,,,,1991,,,,
7YKCXBBM,"Museums, adults, and the humanities: a guide for educational programming",Books,0,,1981,American Association of Museums,,Docent/Museum Education,"Washington, D.C",United States; Adult education; Educational aspects; Museums,,,1981,,,399,
7UA29WYJ,The Listening Eye: Teaching in an Art Museum,Books,"Marcouse, Renee",,1961,Her Majesty's Stationery Office,,Docent/Museum Education,,,,,1961,,,,
88SWBVLK,Collecting Their Thoughts: Using Museum as Resources for Student Writing,Books,"Smith, Michelle et al",,,Smithsonian Institution Press,,Docent/Museum Education,,,,,,,,,
862NC3BP,The Holy Bible: The King James Version,Books,0,,1970,National Publishing Company,,Religion/Myth,,,,,1970,,,,
7VRPVPYQ,the masks of God: Creative Mythology,Books,"Campbell, Joseph",,1972,Viking Press,,Religion/Myth,,,,,1972,,,,
AXM4QUI9,the masks of God: Primitive Mythology,Books,0,,1970,Viking Press,,Religion/Myth,,,,,1970,,,,
RRM7I9FT,Gods and Mortals in Classical Mythology: A Dictionary,Books,"Grant, Michael and Hazel",,1979,Dorset Press,,Religion/Myth,,,,,1979,,,,
SD5AKSG3,God Goddesses and Monsters: A Book of World Mythology,Books,"Keenan, Sheila",,2000,Scholastic Incorporated,,Religion/Myth,,,,,2000,,,,
Y2UKDR4H,The Jewish Museum New York,Books,"Mann, Vivian B. and Bilski",,1996,"Scala Publishers, Ltd",,Religion/Myth,,,,,1996,,,,
ICJHJAJ5,Mythology,Books,"Bulfinch, Thomas",,1972,Dell Publishing,,Religion/Myth,,,,,1972,,,,
RJPXRC3N,A Handbook of Greek Mythology: Including Its Extension to Rome,Books,"Rose, H. J.",,1959,E P Dutton and Company,,Religion/Myth,,,,,1959,,,,
CIINH6RX,Buddhism: World History for Young People,Books,0,,1995,Calliope,,Religion/Myth,,,,,1995,,,,
24VEF3TG,Hindusim: World History for Young People,Books,0,,1993,Calliope,,Religion/Myth,,,,,1993,,,,
FKIJK3QD,St Patrick and Irish Christianity,Books,"Corfe, Tom",,1973,Cambridge University Press,,Religion/Myth,,,,,1973,,,,
HY9A4AW4,Symbols of Judaism,Books,"Ouaknin, Marc-Alain",,1997,Editions Assouline,,Religion/Myth,,,,,1997,,,,
CCGH3PA7,The Titan's Curse,Books,"Riordan, Rick",,2008,Hyperion Books,,Religion/Myth,,,,,2008,,,,
KDKELI9T,The Battle of the Labyrinth,Books,"Riordan, Rick",,2009,Hyperion Books,,Religion/Myth,,,,,2009,,,,
N3RK59XU,The Last Olympian,Books,Rick Riordan,,2011,Hyperion Books,,Religion/Myth,,,,,2011,,,,
ELNEK352,The Self Portrait in Art,Books,"Lerner, Sharon",,1970,Lerner Publications Company,,K-12,,,,,1970,,,,
KM65GBKR,Colors,Books,"Yenawine, Philip",,1991,Museum of Modern Art,,K-12,,,,,1991,,,,
V8SGQ26U,Lines,Books,"Yenawine, Philip",,1991,Museum of Modern Art,,K-12,,,,,1991,,,,
RDTIRETY,Stories,Books,"Yenawine, Philip",,1991,Museum of Modern Art,,K-12,,,,,1991,,,,
GQ2TS4TB,"The Way of Art: Inner Vision - Outer Expression, Vol 1",Books,"Fearing, Kelly",,1986,"W S Benson and Company, Inc",,K-12,,,,,1986,,,,
UBULPT6Y,"The Way of Art: Inner Vision - Outer Expression, Vol 2",Books,"Fearing, Kelly",,1986,"W S Benson and Company, Inc",,K-12,,,,,1986,,,,
DMSA8KI4,The Horse in Art,Books,"Zuelka, Ruth",,1965,Lerner Publications Company,,K-12,,,,,1965,,,,
GX6BI45B,The Ship and The Sea in Art,Books,"Gracza, Margaret",,1965,Lerner Publications Company,,K-12,,,,,1965,,,,
8YVTGJE2,The New Testament in Art,Books,"Shissler, Barbara Johnson",,1970,Lerner Publications Company,,K-12,,,,,1970,,,,
FHNXVACA,The Worker in Art,Books,"Shissler, Barbara Johnson",,1970,Lerner Publications Company,,K-12,,,,,1970,,,,
5NPPA52T,The Old Testament in Art,Books,"Coen, Rena Neumann",,1970,Lerner Publications Company,,K-12,,,,,1970,,,,
25DHLXLT,Demons and Beasts in Art,Books,"Williams, Diane",,1970,Lerner Publications Company,,K-12,,,,,1970,,,,
YR2VVC6D,The City in Art,Books,"Cornelius, Chase and Sue",,1966,Lerner Publications Company,,K-12,,,,,1966,,,,
LH42RR26,Going for a walk with a line: a step into the world of modern art,Books,"MacAgy, Douglas; MacAgy, Elizabeth",,1959,Doubleday,,K-12,"Garden City, N.Y","20th century; Art, Modern; Line (Art)",,1st ed.,1959,,,,
IDLL7DDF,Michelangelo Buonarroti: Art for Children,Books,"Raboff, Ernest",,1988,Harper & Row,,K-12,,,,,1988,,,,
EPITAXY2,Pierre-August Renoir,Books,"Raboff, Ernest",,1987,Harper & Row,,K-12,,,,,1987,,,,
ZYVYPK85,Art in Action,Books,"Hubbard, Guy",,1986,Coronado Publishers,,K-12,,,,,1986,,,,
N8WDGTWU,How to Look at Sculpture: Guide for Children,Books,"Brush, Katherine F.",,1959,Metropolitan Museum of Art,,K-12,,,,,1959,,,,
DSZ9RDVR,Getting into Art History,Books,"Smith, Annie and Hancock",,1993,Barn Press,,K-12,,,,,1993,,,,
VPR2K6R9,The ARTexpress School/Museum Resource Book,Books,"Judson, Bay Hallowell",,1988,Carnegie Museum of Art,,K-12,,,,,1988,,,,
AI8TUJ28,Modern artists on art: ten unabridged essays,Books,"Herbert, Robert L.",,1965,Prentice-Hall,,GENERAL APPRECIATION/CRITICISM,"Englewood Cliffs, N.J","20th century; Art, Modern",A Spectrum book,,1965,,,149,
CHEMGIN2,Art & religion,Books,"Vogt, Von Ogden",,1960,Beacon Press,,GENERAL APPRECIATION/CRITICISM,Boston,Christian art and symbolism; Art and religion; Church; Church architecture; Liturgics,Beacon series in liberal education. LR5,Rev. ed.,1960,,,269,
ZITHIQVD,Principles of art history: the problem of the development of style in later art,Books,"Wölfflin, Heinrich",,194,Dover Publications,,GENERAL APPRECIATION/CRITICISM,New York,History; Art,,,194,,,237,
D87CHGHQ,Artists on Art: From the XIV to the XX Century,Books,"Goldwater, Robert and Treves",,1958,Pantheon Books,,GENERAL APPRECIATION/CRITICISM,,,,,1958,,,,
9NRD7BHK,Art and Society,Books,"Read, Herbert",,1966,Schocken Books,,GENERAL APPRECIATION/CRITICISM,,,,,1966,,,,
B3VHDJQN,The many ways of seeing: an introduction to the pleasures of art,Books,"Moore, Janet Gaylord",,1968,World Pub. Co,,GENERAL APPRECIATION/CRITICISM,Cleveland,Art appreciation,,,1968,,,141,
KHYNDILL,Of divers arts,Books,"Gabo, Naum; Bollingen Foundation Collection (Library of Congress)",,1962,Pantheon Books,,GENERAL APPRECIATION/CRITICISM,New York,Art,"Bollingen series, The A.W. Mellon lectures in the fine arts",,1962,,,205,
83RIZN4C,Learning to look: a handbook for the visual arts,Books,"Taylor, Joshua Charles; University of Chicago",,1957,University of Chicago Press,,GENERAL APPRECIATION/CRITICISM,Chicago,Art appreciation,,,1957,,,152,
STBF6BQC,Watercolours: A Concise History,Books,"Reynolds, Graham",,1985,Thames and Hudson,,GENERAL APPRECIATION/CRITICISM,,,,,1985,,,,
E3BHY935,"Exotic art, from ancient and primitive civilizations: collection of Jay C. Leff",Books,0,,1959,,,CMoA CATALOGUE,Pittsburgh?,"Exhibitions; Art; Private collections; Art, Primitive",,,1959,,,130,
HX2LLNRX,Mannerism,Books,"Shearman, John",,1967,Penguin Books,,GENERAL HISTORY,,,,,1967,,,,
Y7YLKT8C,Realism,Books,"Nochlin, Linda",,1971,Penguin Books,,GENERAL HISTORY,,,,,1971,,,,
2WFBAPV3,Civilisation,Books,"Clark, Kenneth",,1969,Harper & Row,,GENERAL HISTORY,,,,,1969,,,,
PQJZ2XG6,"The romantic West, 1789-1850",Books,"Keyser, Eugénie de",,1965,"Skira [distributed in the U.S. by World Pub. Co., Cleveland",,GENERAL HISTORY,Geneva],"History; 19th century; Art, Modern; Art and society",Art ideas history,,1965,,,210,
VM52TWYR,"The invention of liberty, 1700-1789",Books,"Starobinski, Jean",,1964,"Skira; [Distributed in the U.S. by World Pub. Co., Cleveland",,GENERAL HISTORY,Geneva],"Themes, motives; Aesthetics; 18th century; Art, European; Eighteenth century",Art ideas history,,1964,,,222,
7P7SUQKE,"The Europe of the cathedrals, 1140-1280",Books,"Duby, Georges",,1966,Skira,,GENERAL HISTORY,Geneva],"Architecture, Gothic; Cathedrals",Art ideas history,,1966,,,220,
RKMCDKQG,"The making of the Christian West, 980-1140",Books,"Duby, Georges",,1967,Skira,,GENERAL HISTORY,Geneva],"Art, Medieval; Christian art and symbolism; Medieval, 500-1500; Architecture, Medieval",Art ideas history,,1967,,,214,
NTN9WXRA,"The structures of the modern world, 1850-1900",Books,"Ponente, Nello",,1965,"Skira; [distributed in the U.S. by World Pub. Co., Chicago",,GENERAL HISTORY,Geneva],"History; 19th century; Art, Modern; Art and society",Art ideas history,,1965,,,210,
BPQLXT6Y,"The Europe of the capitals, 1600-1700",Books,"Argan, Giulio Carlo",,1965,Skira; [distributed in the U.S. by World Pub. Co,,GENERAL HISTORY,Geneva] Cleveland,"Art, Modern; Art and society; 17th century; Art, Baroque",Art ideas history,,1965,,,222,
4UIFVEPC,"Foundations of a new humanism, 1280-1440",Books,"Duby, Georges",,1966,"Skira; [distributed in the U.S. by World Pub. Co., Cleveland",,GENERAL HISTORY,Geneva,"Art patronage; Art, Medieval; Humanism",Art ideas history,,1966,,,222,
NGSH293P,Lives of the Artists: A Selection Translated by George Bull,Books,"Vasari, Giorgio",,1968,Penguin Books,,GENERAL HISTORY,,,,,1968,,,,
KMLZK6WG,Readings in Art History: Volume 1 - Ancient Egypt Through the Middle Ages,Books,"Spencer, Harold",,1969,Charles Scribner's Sons,,GENERAL HISTORY,,,,,1969,,,,
ZSPHVXHY,The visual dialogue: an introduction to the appreciation of art,Books,"Knobler, Nathan",,1967,"Holt, Rinehart and Winston",,GENERAL HISTORY,New York,Technique; Art; Aesthetics; Art appreciation,,,1967,,,342,
ZKJ3EDC8,Sarah Scaife Gallery,Books,0,,1974,Carnegie Institute,,CMoA CATALOGUE,,,,,1974,,,,
GS9LP2B5,The Art in Painting,Books,"Barnes, Albert C.",,1976,The Barnes Foundation Press,,GENERAL - APPRECIATION/CRITICISM,,,,third edition,1976,,,,
6W6RI7HU,The Murals of Maxo Vanka,Books,"Domike, Steffi; Doering",,,"The Society to Preserve the Millvale Murals of Maxo Vanka, St Nicholas Croatian Catholic Church, Millvale, Pennsylvania",,GENERAL - CMOA/PGH,,"The Society to Preserve the Millvale Murals of Maxo Vanka, St Nicholas Croatian Catholic Church, Millvale, Pennsylvania",,,,,,,
KYGKWMNS,African Art: Permutations of Power,Books,0,,1997,University of Florida,,African Art,"Gainesville, FL",,,,1997,,,,
LZ7M3CJS,Mark Rothko,Books,"Selz, Peter",,1961,The Museum of Modern Art,,ARTIST - R,,"Rothkp, Mark",,,1961,,,,
EKXACH56,A Pittsburgh Album: 1758-1958,Books,"Stryker, Roy and Seidenberg",,1959,The Pittsburgh Post-Gazette,,GENERAL - CMOA/PGH,,,,,1959,,,,
XAPPFLDT,John Singer Sargent: His Life and Work in 500 Images,Books,Susie Hodge,,2021,Lorenz Books,,Artist,,,,,2021,,,,
DVRIRW5Z,Painting and Sculpture in Europe 1780-1880,Books,Fritz Novotny,,,,,European,,,,,,,,,
