SI,Title,Type,Authors,ISBN,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
2BLX97VS,Ancient Greek Sculpture from the Museums of Athens,Books,"Chamoux, Francois",,1968,New American Library,,ANCIENT,,,,,1968,,,,
WHXVFPY3,The Classical World,Books,"Strong, Donald E.",,1965,McGraw Hill,,ANCIENT,,,,,1965,,,,
SHS99JR5,The Lyric Age of Greece,Books,"Burn, Andrew Robert",,1968,Minerva Press,,ANCIENT,,,,,1968,,,,
RUK83N6Q,Minoan and Mycenaean Art,Books,"Higgins, Reynold",,1967,Praeger Publishers,,ANCIENT,,ANCIENT - GREEK,,,1967,,,,
MCP799I8,The Romans,Books,"Barrow, R. H.",,1967,Penguin Books,,ANCIENT,,,,,1967,,,,
YWAN74RA,"Olympia: Gods, Artists, and Athletes",Books,"Drees, Ludwig",,1968,"Frederick A, Praeger",,ANCIENT,,,,,1968,,,,
BU6SZUN7,Greece Gods and Art,Books,"Liberman, Alexander",,1968,Viking Press,,ANCIENT,,,,,1968,,,,
AR5IIVU4,The Lansdowne Bust of the Athena of Velletri,Books,Los Angeles County Museum of Art,,1965,Los Angeles County Museum of ART,,ANCIENT - PERIODICAL,,,,,1965,,,,
R5EWVMBE,Zippori,Books,"Netzer, Ehud and Zeev Weiss",,1994,Israel Exploration Society,,ANCIENT - PERIODICAL,,,,,1994,,,,
V29JGATM,Early Burials from the Agora Cemeteries,Books,0,,1973,American School of Classical Studies at Athens,,ANCIENT - PERIODICAL,,,,,1973,,,,
67YBMI5Q,The Aztec Calendar: Reconstruction of Colors and Text,Books,"Davila, Francisco Gonzalez",,1973,Museo Nacional de Antropologia,,ANCIENT - PERIODICAL,,,,,1973,,,,
2V2U3ZAC,Ancient Art and Archaeology,Books,Korban,,1988,Korban Ltd,,ANCIENT - PERIODICAL,,,,,1988,,,,
7VAUSHCZ,Mummies,Books,0,,1976,Field Museum of Natural History,,ANCIENT - PERIODICAL,,,,,1976,,,,
IBJ2R82F,Masterpieces of Greek Vase Painting: 7th to 5th century B.C,Books,0,,1964,"Andre Emmerich Gallery, Inc",,ANCIENT - PERIODICAL,,,,,1964,,,,
7KVGAYVU,Classical Art Greek Roman Etruscan,Books,Edward H. Merrin Gallery,,,Edward H. Merrin Gallery,,ANCIENT - PERIODICAL,,,,,,,,,
4JIZV5AJ,Archaeological Treasures of Ancient Egypt,Books,"Silverman, David P.",,1983,Amarillo Art Center,,ANCIENT - PERIODICAL,,,,,1983,,,,
397QEXV2,Jewels of Byzantium,Books,"Ross, Marvin",,1968,Virginia Museum,,ANCIENT - PERIODICAL,,,,,1968,,,,
G79IDJI8,Images of Ancient Mexico: Pre-Columbian Art from Columbus Collections,Books,"Bishop, Budd Harris",,1980,Columbus Museum of Art,,ANCIENT - PERIODICAL,,,,,1980,,,,
PXLLDVXJ,Arts Antiques Arts Primitifs,Books,0,,1968,Galerie Simone de Monbrison,,ANCIENT - PERIODICAL,,,,,1968,,,,
X4G78QVI,An Introduction to the Art of China,Books,"Moore, Janet Gaylord",,,Cleveland Museum of Art,,ASIAN - PERIODICAL,,,,,,,,,
RIK8H326,An Introduction to the Art of Japan in the Cleveland Museum of Art,Books,"Lutz, Edmund",,,Cleveland Museum of Art,,ASIAN - PERIODICAL,,,,,,,,,
GRQBPN2U,"Carnegie Magazine Volume L, number 8, October 1976: A Preface to ""800 Years of Japanese Printmaking""",Books,0,,1976,Carnegie Institute,,ASIAN - PERIODICAL,,,,,1976,,,,
DPL995KT,A Chinese Garden Court: The Astor Court at The Metropolitan Museum of Art,Books,"Murck, Alfreda and Fong",,1980,Metropolitan Museum of Art,,ASIAN - PERIODICAL,,,,,1980,,,,
8PH85RPG,Twelve Japanese Screens,Books,"Meech-Pekarik, Julia",,1979,Metropolitan Museum of Art,,ASIAN - PERIODICAL,,,,,1979,,,,
PEWAXXQ9,Netsuke: The Small Sculptures of Japan,Books,"Okada, Barbra Teri",,1980,Metropolitan Museum of Art,,ASIAN - PERIODICAL,,,,,1980,,,,
WQ2T778S,The Arts of Ancient China,Books,"Watt, James C. Y.",,1990,Metropolitan Museum of Art,,ASIAN - PERIODICAL,,,,,1990,,,,
72XP65PU,Islamic Pottery: A Brief History,Books,"Jenkins, Marilyn",,1983,Metropolitan Museum of Art,,ASIAN - PERIODICAL,,,,,1983,,,,
3P4JB5IF,Arts: The Islamic World,Books,"Ali, Muazzam",,1983,Islamic Arts Foundation,,ASIAN - PERIODICAL,,,,,1983,,,,
4QZJS7AQ,Journey into Romanesque: A Traveller's Guide to Romanesque Monuments in Europe,Books,"Cooper, Robyn",,1969,G. P. Putnam,,MEDIEVAL,,,,,1969,,,,
KQA7NYAS,Medieval and Renaissance Arms and Armor,Books,"Grancsay, Stephen V.",,1953,Los Angeles County Museum,,MEDIEVAL,,,,,1953,,,,
XC4KE29M,The Gothic Image: Religious Art in France of the Thirteenth Century,Books,"Male, Emile",,1958,Harper & Row,,MEDIEVAL,,,,,1958,,,,
SYZWJ4D7,Russian Icons in Santa Barbara Museum of Art,Books,"McKenzie, A. Dean",,1982,Santa Barbara Museum of Art,,MEDIEVAL,,,,,1982,,,,
HXZ6ZTQ8,An Exhibition of Mediaeval Art,Books,0,,1961,William Hayes Ackland Memorial Art Center,,MEDIEVAL,,,,,1961,,,,
7S2Z7EPL,The World as a Symbol: An Exhibition of Medieval Art,Books,0,,1959,Queens College Art Collection,,MEDIEVAL,,,,,1959,,,,
ZL7YPWJM,Medieval Architecture: European Architecture 600-1200,Books,"Saalman, Howard",,1967,"George Braziller, Inc",,MEDIEVAL,,,,,1967,,,,
6G8E6H57,The Buckingham Medieval Collection,Books,"Rogers, Meyric R. and Oswald Goetz",,1945,Art Institute of Chicago,,MEDIEVAL,,,,,1945,,,,
CJBV953L,Byzantine Icons,Books,"Beasley, Gerald and Beck",,,,,MEDIEVAL,,,,,,,,,
Y7S8UBKX,Medieval Painting,Books,"Marcucci, Luisa and Micheletti",,1960,Viking Press,,MEDIEVAL,,,,,1960,,,,
USLAKJQK,The End of the Ancient World and the Beginning of the Middle Ages,Books,"Lot, Ferdinand",,1961,Harper Torchbooks,,MEDIEVAL,,,,,1961,,,,
46UTUG52,The meeting of two worlds: the Crusades and the Mediterranean context,Books,"Bornstein, Christine Verzár; Alexander, Emma; Olds, Clifton C.; Soucek, Priscilla Parsons; Universit",,1981,The Museum,,MEDIEVAL,Ann Arbor,"Art, Medieval; Byzantine influences Exhibitions; Civilization Exhibitions; Islamic influences Exhibitions; Mediterranean Region",,,1981,,,103,
JPLEVNQM,Early Medieval Art,Books,"Beckwith, John",,1964,"Frederick A, Praeger",,MEDIEVAL,,,,,1964,,,,
6IU6TTA3,Byzantine and Early Medieval Painting,Books,"Chatzidakis, Manolis and Grabar",,1965,Viking Press,,MEDIEVAL,,,,,1965,,,,
KDXSEP9B,Western Society and the Church in the Middle Ages,Books,"Southern, R. W.",,1972,Penguin Books,,MEDIEVAL,,,,,1972,,,,
UZ75HIJV,The Art of Constantinople: An Introduction to Byzantine Art 330-1453,Books,"Beckwith, John",,1968,Phaidon Press,,MEDIEVAL,,,,,1968,,,,
N8ENYKEN,A Medieval Treasury: An Exhibition of Medieval Art from the Third to the Sixteenth Century,Books,"Calkins, Robert",,1968,Andrew Dickson White Museum of Art,,MEDIEVAL,,,,,1968,,,,
EQC7RU4T,Medieval and Renaissance Florence: Volume 1: Medieval Florence,Books,"Schevill, Ferdinand",,1965,Harper & Row,,MEDIEVAL,,,,,1965,,,,
Y8XQCHA6,Gothic Painting,Books,"Souchal, Genevieve; Carli",,1965,Viking Press,,,,,,,1965,,,,
87CMD2U5,Gothic Painting,Books,"Souchal, Genevieve; Carli",,1965,Viking Press,,MEDIEVAL,,,,,1965,,,,
PD978J42,Medieval Arts in the Yale University Art Gallery,Books,0,,1974,Yale University Art Gallery,,MEDIEVAL,,,,,1974,,,1974,
