SI,Title,Type,Authors,ISBN,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
9M23YKAY,Nineteenth-century architecture,Books,"Reynolds, Donald M.",0-521-35596-6,,1992,Cambridge University Press,,ARCHITECTURE,Cambridge [England] ; New York,"19th century; Architecture, Modern",The Cambridge introduction to art,,1992,,,106,
7BW837EV,American art at the nineteenth-century Paris Salons,Books,"Fink, Lois Marie",0-521-38499-0,,1990,"National Museum of American Art, Smithsonian Institution ; Cambridge University Press",,AMERICAN,"Washington, D.C. : Cambridge ; New York","19th century; Exhibitions; Art, American; Salon (Exhibition : Paris, France)",,,1990,,,430,
WJCLMY5X,"American painted furniture, 1660-1880",Books,"Fales, Dean A.",0-525-05387-5,,1972,Dutton,,DECORATIVE ARTS,New York,United States; Decoration and ornament; Painted furniture,,1st ed.,1972,,,299,
K6ZFXUV5,"Hirshhorn, Medici from Brooklyn: a biography",Books,"Hyams, Barry",0-525-12520-5,,1979,Dutton,,MODERN,New York,"Biography; Art; Brooklyn (New York, N.Y.); Collectors and collecting Biography; Hirshhorn, Joseph H",,1st ed,1979,,,206,
26VSZV6Q,Monuments of medieval art,Books,"Calkins, Robert G.",0-525-15932-0,,1979,Dutton,,MEDIEVAL,New York,"Art, Medieval",,1st ed,1979,,,299,
VABXZNV2,The eccentrics and other American visionary painters,Books,"Davidson, Abraham A.",0-525-47500-1,,1978,Dutton,,AMERICAN,New York,"19th century; Painting, American; United States; Fantasy in art; Romanticism in art; Surrealism",,1st ed,1978,,,202,
D4V54VF9,Get the message? a decade of art for social change,Books,"Lippard, Lucy R.",0-525-48037-4,,1984,E.P. Dutton,,GENERAL HISTORY,New York,History; 20th century; Art; Art and society; Political aspects,,1st ed,1984,,,343,
96QNE5KK,The Art of performance: a critical anthology,Books,0,0-525-48039-0,,1984,E.P. Dutton,,MODERN,New York,"20th century; Performance art; Arts, Modern",,1st ed,1984,,,344,
EKGKS8NP,Small folk: a celebration of childhood in America,Books,"Brant, Sandra; Cullman, Elissa; Museum of American Folk Art",0-525-93131-7,,1980,E.P. Dutton : Museum of American Folk Art,,AMERICAN,New York,United States; Folk art; Children in art; Children's art; Children's paraphernalia,,1st ed,1980,,,180,
KW4FVKG2,Jackson Pollock,Books,"Oliver, Clare",0-531-12237-9,,2003,Franklin Watts,,K-12,New York,"Painters; Painting, American; United States; Artists; Biography Juvenile literature; Juvenile literature; Pollock, Jackson",Artists in their time,1st American ed,2003,,,46,
YAPFDWG7,Neolithic stone circles and contemporary art in the landscape,Books,"Jaeger, Elizabeth",0-533-05831-7,,1984,Vantage Press,,MODERN,New York,Great Britain; Antiquities; Archaeoastronomy; Environment (Art); Megalithic monuments; Neolithic period; Stone circles,,1st ed,1984,,,87,
QHRAZ8SS,Sensation and perception,Books,"Goldstein, E. Bruce",0-534-00760-0,,1980,Wadsworth Pub. Co,,QP431 .G64,"Belmont, Calif",Perception; Senses and sensation,,,1980,,,492,
8QFG3DXA,Sensation and perception,Books,"Goldstein, E. Bruce",0-534-00760-0,,1980,Wadsworth Pub. Co,,GENERAL APPRECIATION/CRITICISM,"Belmont, Calif",Perception; Senses and sensation,,,1980,,,492,
7FF88YC3,A history of Roman art,Books,"Kleiner, Fred S.",0-534-63846-5,,2007,Thomson/Wadsworth,,ANCIENT,Australia ; United States,"Art, Roman",,,2007,,,340,
T2B4VHH6,The birth and rebirth of pictorial space,Books,"White, John",0-571-09946-7,,1972,Faber,,RENAISSANCE,London,"Perspective; Italy; Painting, Italian; Painting, Renaissance",Faber paper covered editions,2nd ed,1972,,,3,
LW5BEPKS,Looking into paintings,Books,0,0-571-13669-9,,1985,Faber and Faber,,GENERAL APPRECIATION/CRITICISM,London ; Boston,Painting; Appreciation,,,1985,,,302,
Z4QH8VPI,Unquiet landscape: places and ideas in twentieth-century English painting,Books,"Neve, Christopher",0-571-15291-0,,1990,Faber and Faber,,MODERN,London ; Boston,"20th century; Themes, motives; Painting, English",,,1990,,,166,
ZCYLUZT3,African American History: Four Centuries of Black Life,Books,"Hughes, Langston; Meltzer",0-590-35452-3,,1990,Scholastic Incorporated,,GENERAL HISTORY,,0,,,1990,,,,
YYFKJ2YU,Roman mythology,Books,"Perowne, Stewart",0-600-03347-3,,1969,Hamlyn,,ANCIENT,"London, New York","Mythology, Roman",,,1969,,,141,
G7UMY8WW,Matisse,Books,"Orienti, Sandra; Matisse, Henri",0-600-35928-X,,1972,Hamlyn,,ARTIST - M,"London, New York","Matisse, Henri",Twentieth-century masters,,1972,,,96,
9C2R7ZR9,The world of William Glackens,Books,0,0-615-41981-X,,2011,Sansom Foundation ; Distributed by D.A.P./Distributed Art Publishers,,ARTIST - G,[United States?] : New York,"Criticism and interpretation; Glackens, William J; Ashcan school of art; Figurative art, American",The C. Richard Hilker art lectures,,2011,,,212,
BZHHMYNL,Let Us Now Praise Famous Men,Books,"Agee, James and Evans",0-618-12749-6,,1988,Houghton Mifflin Company,,ARTIST - E,,0,,,1988,,,,
4MJ5NZKQ,"Matisse, Picasso",Books,0,0-642-33485-4,,2019,National Gallery of Australia,,ARTIST - M,"Canberra, Australian Capital Territory","Exhibitions; 20th century; Art, Modern; Artists; Exhibition catalogs; Matisse, Henri; 1900-1999; Picasso, Pablo",,,2019,,,196,
X9ZLMEIY,Treasures of Islam,Books,"Bamborough, Philip",0-668-04178-1,,1977,Arco Pub. Co,,ISLAMIC,New York,Islamic art,,,1977,,,160,
UUICAC57,"Roman society: a social, economic, and cultural history",Books,"Boren, Henry Charles",0-669-84681-3,,1977,D.C. Heath,,ANCIENT,"Lexington, Mass",History; Rome,Civilization and society,,1977,,,320,
VWGZFFLG,The artist's handbook of materials and techniques,Books,"Mayer, Ralph",0-670-13665-4,,1970,Viking Press,,GENERAL METHODS/TECHNIQUES,New York,Technique; Painting; Artists' materials,,"3d ed., rev. and expanded",1970,,,750,
UPQI4B6E,The Autobiography of surrealism,Books,0,0-670-14235-2,,1980,Viking Press,,MODERN,New York,"20th century; Surrealism; Arts, Modern",The Documents of 20th century art,,1980,,,472,
9NFRHRC8,"The flowering of American folk art, 1776-1876",Books,"Lipman, Jean; Winchester, Alice; Whitney Museum of American Art",0-670-32120-6,,1974,"Viking Press, in cooperation with the Whitney Museum of American Art",,AMERICAN,New York,United States; Primitivism in art; Folk art,A Studio book,,1974,,,288,
TUV8XBHC,The Hudson River and its painters,Books,"Howat, John K.",0-670-38558-1,,1972,Viking Press,,AMERICAN,New York,"19th century; Landscape painting, American; Hudson River school of landscape painting",A Studio book,,1972,,,207,
HPRXVUJS,Men of Athens: the story of fifth century Athens,Books,"Warner, Rex",0-670-46884-3,,1972,Viking Press,,ANCIENT,New York,Athens (Greece); Intellectual life,A Studio book,,1972,,,264,
9ZI6AZPH,The Penguin companion to the arts in the twentieth century,Books,"McLeish, Kenneth",0-670-80127-5,,1985,Viking,,MODERN,"Middlesex, England ; New York, N.Y., U.S.A","20th century; Artists; Dictionaries; Arts, Modern; Biography Dictionaries",,,1985,,,604,
4VUPZXHV,A painter of darkness: Leon Golub and our times,Books,"Marzorati, Gerald",0-670-81979-4,,1990,Viking,,ARTIST - G,"New York, N.Y., U.S.A","Criticism and interpretation; Golub, Leon",,,1990,,,271,
BKTFTYDX,The Britannica encyclopedia of American art,Books,0,0-671-21616-3,,1973,"Encyclopaedia Britannica Educational Corp.; distribution by Simon and Schuster, New York",,GENERAL REFERENCE,Chicago,"United States; Artists; Art, American; Dictionaries; Biography Dictionaries",,,1973,,,669,
TUADUKEH,Tiffany windows,Books,"Duncan, Alastair",0-671-24951-7,,1980,Simon and Schuster,,Glass,New York,"United States; Tiffany, Louis Comfort; Stained glass windows",,,1980,,,224,
ZB3V7TK7,The Timetables of History: A Horizontal Linkage of People and Events,Books,"Grun, Bernard",0-671-24988-6,,1979,Simon and Schuster,,GENERAL HISTORY,,0,,,1979,,,,
HVHF6467,A woman on paper: Georgia O'Keeffe,Books,"Pollitzer, Anita",0-671-66242-2,,1988,Simon & Schuster,,ARTIST - O,New York,"Biography; United States; Artists; O'Keeffe, Georgia",A Touchstone book,,1988,,,290,
ZDIJ78HB,The glorious impossible,Books,"L'Engle, Madeleine; Giotto",0-671-68690-9,,1990,Simon and Schuster Books for Young Readers,,ARTIST - G,New York,Art; Biography Juvenile literature; Giotto; Jesus Christ,,,1990,,,64,
GHYPRUEG,The Wright style,Books,"Lind, Carla",0-671-74959-5,,1992,Simon & Schuster,,Artist,New York,"United States; Criticism and interpretation; Themes, motives; Wright, Frank Lloyd; Dwellings",,,1992,,,224,
JHZU6754,Picasso: Fifty Years of his Art,Books,"Barr, Jr",0-672-52649-2,,1974,Arno Press,,ARTIST - P,,0,,,1974,,,,
44Y6EMPE,The Parthenon sculptures,Books,"Jenkins, Ian",0-674-02692-6,,2007,Harvard University Press,,NON-CIRCULATING REFERENCE,"Cambridge, Mass","Elgin marbles; Parthenon (Athens, Greece)",,,2007,,,144,
GBCGQ542,"Great French paintings from the Barnes Foundation: Impressionist, Post-impressionist, and Early Modern",Books,0,0-679-40963-7,,1993,Knopf ; in association with Lincoln University Press,,MODERN,New York,"19th century; France; Impressionism (Art); Painting, French; Post-impressionism (Art); 20th century; Painting; Modernism (Art); Private collections; Catalogs; Barnes Foundation; Pennsylvania Merion",,1st ed,1993,,,318,
