SI,Title,Type,Authors,ISBN,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
IJZAGECB,Global/local: cultural production and the transnational imaginary,Books,0,0-8223-1702-8,,1996,Duke University Press,,MODERN,Durham,Civilization; Asia; Intercultural communication; Pacific Area; Regionalism,"Asia-Pacific : culture, politics, and society",,1996,,,399,
82DIKSA7,"John Kane, painter",Books,"Arkus, Leon Anthony; McSwigan, Marie; Arkus, Leon Anthony; Kane, John",0-8229-3217-2,,1971,University of Pittsburgh Press,,Artist K,Pittsburgh,"Kane, John",,,1971,,,343,
C3GJF7K4,Out of this furnace,Books,"Bell, Thomas",0-8229-3321-7,,1976,University of Pittsburgh Press,,GENERAL CMoA/PGH,Pittsburgh,History; Fiction; Autobiographical fiction; Braddock (Pa.); Pennsylvania Braddock; Slovaks; Steel industry and trade,Pitt paperback ; 120,,1976,,,424,
NTB6D59P,Discovering Pittsburgh's sculpture,Books,"Gay, Vernon; Evert, Marilyn",0-8229-3467-1,,1983,University of Pittsburgh Press,,General CMOA/Pgh,"Pittsburgh, Pa","Pennsylvania Pittsburgh; Buildings, structures, etc; Sculpture, American; Pittsburgh (Pa.); Monuments; Statues",,,1983,,,451,
R9IF7FWG,A guidebook to historic western Pennsylvania,Books,"Smith, Helene; Swetnam, George",0-8229-3630-5,,1991,University of Pittsburgh Press,,ARCHITECTURE,"Pittsburgh, Pa",Pennsylvania; Historic sites; Guidebooks,,"2nd ed., rev. and enlarged",1991,,,410,
S84DQ6FX,"The early architecture of western Pennsylvania: a record of building before 1860 based upon the western Pennsylvania architectural survey, a project of the Pittsburgh chapter of the American Institute of Architects with an introduction by Fiske Kimball",Books,"Stotz, Charles Morse; American Institute of Architects",0-8229-3787-5,,1995,University of Pittsburgh Press,,ARCHITECTURE,Pittsburgh,"19th century; Pennsylvania; 18th century; Architecture; 17th century; Architecture, Modern",,,1995,,,296,
D5TWVDXK,Andrew Carnegie,Books,"Wall, Joseph Frazier",0-8229-3828-6,,1989,University of Pittsburgh Press,,GENERAL CMoA/PGH,"Pittsburgh, Pa","Biography; United States; Steel industry and trade; Carnegie, Andrew; Industrialists; Philanthropists",,2nd ed.,1989,,,1137,
L82UV98T,"Pittsburgh, then and now",Books,"Smith, Arthur G.",0-8229-3830-8,,1990,University of Pittsburgh Press,,ARCHITECTURE,"Pittsburgh, Pa",Pictorial works; History Pictorial works; Pittsburgh (Pa.),,,1990,,,325,
25R7SAQ2,Seeing Pittsburgh,Books,"Fifield, Barringer",0-8229-3859-6,,1996,University of Pittsburgh Press,,GENERAL CMoA/PGH,"Pittsburgh, Pa",Pictorial works; Pittsburgh (Pa.); Tours,,,1996,,,288,
XDMLTK4B,A wise extravagance: the founding of the Carnegie International exhibitions 1895-1901,Books,"Neal, Kenneth",0-8229-3925-8,,1996,University of Pittsburgh Press,,GENERAL CMoA/PGH,Pittsburgh,"History; Exhibitions; 20th century; Art, Modern; Museum of Art; Carnegie Institute; Carnegie International",,,1996,,,273,
9294N2JY,"Luke Swank, modernist photographer",Books,"Bossen, Howard; Swank, Luke",0-8229-4253-4,,2005,University of Pittsburgh Press,,ARTIST - S,"Pittsburgh, Pa","Biography; Pennsylvania; Photographers; Swank, Luke",,,2005,,,236,
9S4BTWMS,Palace of culture: Andrew Carnegie's museums and library in Pittsburgh,Books,"Gangewere, Robert J.",0-8229-4397-2,,2011,University of Pittsburgh Press,,NON-CIRCULATING (DO NOT REMOVE FROM DER),"Pittsburgh, Pa","History; 20th century; Intellectual life; Pittsburgh (Pa.); Carnegie, Andrew; Carnegie Library of Pittsburgh",,,2011,,,332,
5KW4X3MV,"Teenie Harris, photographer: image, memory, history",Books,"Finley, Cheryl; Glasco, Laurence Admiral; Harris, Teenie; Trotter, Joe William",0-8229-4414-6,,2011,University of Pittsburgh Press : published in cooperation with Carnegie Museum of Art,,ARTIST - H,Pittsburgh,"Biography; United States; Criticism and interpretation; Photographers; African American art; African American photographers; African Americans; Harris, Teenie; Pennsylvania Pittsburgh; Pictorial works",,,2011,,,192,
SR88I29G,"Teenie Harris, photographer: image, memory, history",Books,"Finley, Cheryl; Glasco, Laurence Admiral; Harris, Teenie; Trotter, Joe William",0-8229-4414-6,,2011,University of Pittsburgh Press : published in cooperation with Carnegie Museum of Art,,NON-CIRCULATING REFERENCE,Pittsburgh,"Biography; United States; Criticism and interpretation; Photographers; African American art; African American photographers; African Americans; Harris, Teenie; Pennsylvania Pittsburgh; Pictorial works",,,2011,,,192,
EANMRRI8,Thaddeus Mosley: African-American Sculptor,Books,"Lewis, David",0-8229-5634-9,,1997,Carnegie Museum of Art,,ARTIST - M,,0,,,1997,,,,
632DRYGK,The American impressionists,Books,"Hoopes, Donelson F.",0-8230-0212-8,,1972,Watson-Guptill Publications,,IMPRESSIONISM-H,New York,"19th century; Impressionism (Art); Painting, American; United States",,,1972,,,159,
9BUNNYBL,"American realists, Homer to Hopper",Books,"Young, Mahonri Sharp",0-8230-0215-2,,1977,Watson-Guptill Publications,,AMERICAN,New York,"19th century; 20th century; Biography; Painters; Painting, American; United States; Realism in art",,,1977,,,208,
BDGQZCFJ,American watercolor painting,Books,"Hoopes, Donelson F.",0-8230-0216-0,,1977,Watson-Guptill Publications,,AMERICAN,New York,"United States; Watercolor painting, American; Watercolorists",,,1977,,,208,
BKEJBGUU,"The big book of ceramics: a guide to the history, materials, equipment, and techniques of hand-building, molding, throwing, kiln-firing, and glazing pottery and other ceramic objects",Books,"Chavarría, Joaquim",0-8230-0508-9,,1994,Watson-Guptill,,DECORATIVE ARTS,New York,Technique; Pottery,,,1994,,,192,
8T87QIBN,John Twachtman,Books,"Twachtman, John Henry; Boyle, Richard J.",0-8230-2569-1,,1979,Watson Guptill,,ARTIST - T,New York,"Biography; Painters; United States; Twachtman, John Henry",,,1979,,,88,
P34URTLE,The regionalists,Books,"Heller, Nancy; Williams, Julia",0-8230-4516-1,,1976,Watson-Guptill Publications,,AMERICAN,New York,"In art; 20th century; Painting, American; United States; Art, Regional",,,1976,,,208,
ZKGHFY66,Art and identity in Oceania,Books,0,0-8248-1304-9,,1990,University of Hawaii Press,,ASIAN,Honolulu,Art; Art and society; Congresses; Oceania,,,1990,,,315,
JM3XJ6VV,"Painters of the humble truth: masterpieces of American still life, 1801-1939",Books,"Gerdts, William H.; Gerdts, William H.; Philbrook Art Center",0-8262-0355-8,,1981,University of Missouri Press ; Philbrook Art Center,,AMERICAN,"Columbia, Mo. : [Tulsa, Okla.]","Exhibitions; Still-life painting, American",,,1981,,,293,
6N9S7PI4,"Between home and heaven: contemporary American landscape photography from the Consolidated Natural Gas Company Collection of the National Museum of American Art, Smithsonian Institution",Books,0,0-8263-1363-9,,1992,"National Museum of American Art, Smithsonian Institution in association with the University of New Mexico Press, Albuquerque, N.M",,PHOTOGRAPHY,"Washington, D.C",Exhibitions; United States; National Museum of American Art (U.S.); Landscape photography,,,1992,,,176,
ZNHIHDMZ,The Encyclopedia of ancient civilizations,Books,0,0-8317-2790-X,,1980,Mayflower Books,,ANCIENT,New York,"Civilization, Ancient; Dictionaries",,,1980,,,367,
VIB6HA3K,Impressionism,Books,"Thomson, Belinda; Howard, Michael",0-8317-4868-0,,1993,Smithmark Publishers,,IMPRESSIONISM-H,New York,"19th century; France; Impressionism (Art); Painting, French",,,1993,,,192,
P66YN4R6,Shakespeare in American painting: a catalogue from the late Eighteenth Century to the present,Books,"Studing, Richard",0-8386-3408-7,,1993,Fairleigh Dickinson University Press ; Associated University Presses,,AMERICAN,Rutherford [N.J.] : London,"Painting, American; United States; Catalogs; Shakespeare, William; Appreciation; Art and literature; Illustrations Catalogs",,,1993,,,170,
8FWSGACL,Drawing,Books,"Monnier, Geneviève; Leymarie, Jean; Rose, Bernice",0-8478-0239-6,,1979,Skira ; Rizzoli,,GENERAL HISTORY,Geneva : New York,Drawing,History of an art,,1979,,,279,
8IN35JRX,Art in the ancient world: a handbook of styles and forms,Books,0,0-8478-0370-8,,1981,Rizzoli,,ANCIENT,New York,"Antiquities; Art, Ancient; Art, Classical; Art, Egyptian; Middle East",,,1981,,,567,
LNNAINMJ,Sir Edwin Landseer,Books,"Ormond, Richard; Hamlyn, Robin; Landseer, Edwin; Rishel, Joseph J.; Philadelphia Museum of Art; Tate",0-8478-0390-2,,1981,Rizzoli,,Artist L,New York,"Exhibitions; Landseer, Edwin",,,1981,,,223,
L8YTTWZD,Prints: history of an art,Books,0,0-8478-0392-9,,1981,Skira ; Rizzoli,,MEDIEVAL,Geneva : New York,History; Prints,,,1981,,,278,
4C6SB2LB,"Art of the Christian world, A.D. 200-1500: a handbook of styles and forms",Books,0,0-8478-0426-7,,1982,Rizzoli,,MEDIEVAL,New York,"Themes, motives; Christian art and symbolism; Medieval, 500-1500; To 500",,,1982,,,504,
QNCPU7GK,Marcel Broodthaers,Books,"Broodthaers, Marcel; Compton, Michael; Goldwater, Marge; Walker Art Center",0-8478-1051-8,,1989,Walker Art Center ; Rizzoli,,ARTIST-B,Minneapolis : New York,"Broodthaers, Marcel; Exhibitions",,,1989,,,223,
FE6BIP3P,Titian drawings,Books,"Titian; Chiari Moretto Wiel, M. Agnese",0-8478-1246-4,,1990,Rizzoli,,ARTIST - T OVERSIZE,New York,Catalogues raisonnés; Titian,,,1990,,,105,
HMJBZIKA,Women in architecture: a contemporary perspective,Books,"Lorenz, Clare",0-8478-1277-4,,1990,Rizzoli,,ARCHITECTURE,New York,"20th century; Biography History and criticism; Architecture, Modern; Women architects",,,1990,,,144,
KNGH3H2Y,Ben Nicholson,Books,"Lewison, Jeremy; Nicholson, Ben",0-8478-1395-9,,1991,Rizzoli International,,ARTIST - N,New York,"Catalogs; Nicholson, Ben",,,1991,,,128,
WFM7HLXI,The loves of the gods: mythological painting from Watteau to David,Books,"Bailey, Colin B.; Hamilton, Carrie A.; Galeries nationales du Grand Palais (France); Kimbell Art Mus",0-8478-1521-8,,1992,Rizzoli ; Kimbell Art Museum,,Religion/Myth,New York : Fort Worth,"Painting, French; Exhibitions; 18th century; Mythology, Classical, in art",,,1992,,,587,
8IQ57UA5,A weekend with Winslow Homer,Books,"Beneduce, Ann Keay",0-8478-1622-2,,1993,Rizzoli,,ARTIST - H,New York,"Biography; United States; Artists; Homer, Winslow; Juvenile literature",,,1993,,,64,
238TPY4S,"Hand-painted pop: American art in transition, 1955-62",Books,0,0-8478-1631-1,,1992,Museum of Contemporary Art ; Rizzoli International Publications,,MODERN,Los Angeles : New York,"Exhibitions; 20th century; United States; Pop art; Art, American",,,1992,,,256,
BKSKUJZK,Monet and the Mediterranean,Books,"Pissarro, Joachim; Brooklyn Museum of Art; Kimbell Art Museum",0-8478-1783-0,,1997,"Rizzoli in association with the Kimbell Art Museum, Fort Worth, Texas",,ARTIST - M,New York,"Exhibitions; Monet, Claude; Western Mediterranean in art",,,1997,,,191,
43K5LAH2,The PaineWebber art collection,Books,0,0-8478-1791-1,,1995,Rizzoli,,MODERN,New York,"20th century; Art, Modern; Art; Catalogs; New York (State) New York; Art collections Catalogs; Private collections Catalogs; Paine Webber Inc",,,1995,,,303,
DQMFRVZ5,"Margaret Bourke-White: the photography of design, 1927-1936",Books,"Phillips, Stephen Bennett; Bourke-White, Margaret; Phillips Collection",0-8478-2505-1,,2003,Phillips Collection in association with Rizzoli,,ARTIST-B,New York,"Bourke-White, Margaret; Commercial photography; Exhibitions; Photography, Artistic; Photography, Industrial",,,2003,,,207,
UJNL5Z48,Islamic painting: a survey,Books,"Rice, David Talbot",0-85224-112-7,,1971,Edinburgh University Press,,ISLAMIC,Edinburgh,Islamic painting,,,1971,,,185,
I6CPFCS8,"The Dutch Italianates: 17th-century masterpieces from Dulwich Picture Gallery, London",Books,"Dejardin, Ian; Dulwich Picture Gallery; International Arts & Artists",0-85667-657-8,,2008,Dulwich Picture Gallery in association with Philip Wilson Publishers ; Distributed in North America by Palgrave Macmillan,,EUROPEAN - NORTHERN,"London : New York, NY","History; Exhibitions; Italy; In art Exhibitions; 17th century; Dulwich Picture Gallery; Dutch Italianates (Group of artists); Landscape painting, Dutch",,,2008,,,112,
CGQUXVWM,Fox Talbot and the Invention of Photography,Books,Gail Bickland,0-85967-599-8,,1980,Godine,,NONFICT,London,0,,,1980,,,,
BCZ83PZG,Mary Cassatt: graphic art,Books,"Breeskin, Adelyn Dohme; Smithsonian Institution",0-86528-006-1,,1981,Published for Smithsonian Institution Traveling Exhibition Service by Smithsonian Institution Press,,ARTIST-C,"Washington, D.C","Cassatt, Mary; Exhibitions",,,1981,,,27,
DBB8UTI2,From Poussin to Matisse: the Russian taste for French painting: a loan exhibition from the U.S.S.R,Books,0,0-86559-086-9,,1990,Art Institute of Chicago ; Metropolitan Museum of Art : Distributed by H.N. Abrams,,EUROPEAN,Chicago : New York,"Painting, French; Exhibitions; Gosudarstvennyĭ Ėrmitazh (Russia); Gosudarstvennyĭ muzeĭ izobrazitelʹnykh iskusstv imeni A.S. Pushkina",,,1990,,,168,
LPTK5KIA,Ivan Albright,Books,"Donnell, Courtney Graham; Cozzolino, Robert; Rossen, Susan F.; Weininger, Susan; Art Institute of Ch",0-86559-142-3,,1997,Art Institute of Chicago ; Distributed by Hudson Hills Press,,ARTIST-A,[Chicago] : New York,"Albright, Ivan; Exhibitions",,1st ed,1997,,,208,
FJH3E8GV,African art at the Art Institute of Chicago,Books,0,0-86559-149-0,,1997,Art Institute of Chicago,,AFRICAN,"Chicago, Ill","Art; Catalogs; Art Institute of Chicago; Illinois Chicago; Africa, Sub-Saharan; Art, African; Art, Black",Art Institute of Chicago Museum Studies,,1997,,,101,
YJBFQ4QD,The lamps of Louis Comfort Tiffany,Books,"Tiffany, Louis Comfort; Cooke, Colin; Eidelberg, Martin P.",0-86565-163-9,,2005,Vendome Press,,Glass,New York,"History; 20th century; United States; Catalogs; Criticism and interpretation; Tiffany, Louis Comfort; Decoration and ornament; Art nouveau; Glass lampshades; Lamps",,1st ed,2005,,,224,
TJYBX9EA,"Russian & Greek icons: from the Charles Pankow collection of Russian & Greek icons, thirteenth through the nineteenth century",Books,0,0-86576-034-9,,1982,Van Doren Gallery ; Distributed by W. Kaufmann,,MEDIEVAL,"San Francisco : [Los Altos, CA","Catalogs; Art collections Catalogs; Icons; Icons, Greek; Icons, Russian; Pankow, Charles; Private collections Catalogs",,,1982,,,80,
MZSXP98Z,The craftsman in America,Books,0,0-87044-176-0,,1975,The Society,,DECORATIVE ARTS,Washington,United States; Artisans; Handicraft,,,1975,,,199,
AXKEWK9R,"Ambroise Vollard, éditeur: prints, books, bronzes",Books,"Johnson, Una E.; Museum of Modern Art (New York, N.Y.)",0-87070-062-6,,1977,Museum of Modern Art ; distributed by New York Graphic Society,,IMPRESSIONISM-J,New York : Boston,"19th century; 20th century; Bronzes; Exhibitions; France; Illustration of books; Prints, French; Vollard, Ambroise",,,1977,,,176,
9WYNTHRX,Art of the twenties,Books,0,0-87070-216-5,,1979,Museum of Modern Art,,MODERN,New York,Exhibitions; Modernism (Art); Avant-garde (Aesthetics),,,1979,,,142,
CG8PKQNM,African textiles and decorative arts,Books,"Sieber, Roy; Museum of Modern Art (New York, N.Y.)",0-87070-227-0,,1972,"Museum of Modern Art; distributed by New York Graphic Society, Greenwich, Conn",,AFRICAN,New York,Africa; Decoration and ornament; Textile fabrics,,,1972,,,239,
VU2MZMQJ,An invitation to see: 125 paintings from the Museum of Modern Art,Books,0,0-87070-231-9,,1973,"Museum of Modern Art; Distributed by New York Graphic Society, Greenwich, Conn",,CATALOGUE,New York,"20th century; Painting; Catalogs; New York (State) New York; Painting, Modern",,,1973,,,159,
TRUGM49P,Before photography: painting and the invention of photography,Books,"Galassi, Peter; Museum of Modern Art (New York, N.Y.)",0-87070-253-X,,1981,Museum of Modern Art ; Distributed by New York Graphic Society,,PHOTOGRAPHY,New York : Boston,"19th century; Exhibitions; Art, Modern; Photography, Artistic; Art and photography",,,1981,,,151,
FWDH79RD,"Patrick Henry Bruce, American modernist: a catalogue raisonne",Books,"Agee, William C.; Rose, Barbara; Museum of Fine Arts, Houston; Museum of Modern Art (New York, N.Y.)",0-87070-259-9,,1979,Museum of Modern Art,,ARTIST-B,New York,"Bruce, Patrick Henry; Exhibitions",,,1979,,,225,
LGMF2ZAL,Joseph Cornell,Books,0,0-87070-271-8,,1980,Museum of Modern Art,,Artist - C,New York,"Cornell, Joseph",,,1980,,,295,
BLGLFXL5,Cézanne: the late work: essays,Books,0,0-87070-278-5,,1977,Museum of Modern Art ; distributed by New York Graphic Society,,Artist-C,New York : Boston,"Cézanne, Paul",,,1977,,,416,
HY7SFCU2,The History of Photography: From 1839 to the Present Day,Books,"Newhall, Beaumont",0-87070-375-7,,1964,Museum of Modern Art,,PHOTOGRAPHY,,0,,,1964,,,,
FDGIKJLQ,Paul Klee,Books,"Klee, Paul; Lanchner, Carolyn; Museum of Modern Art (New York, N.Y.)",0-87070-403-6,,1987,"Distributed by New York Graphic Society Books/Little, Brown",,Artist K,Boston,"Exhibitions; Criticism and interpretation; Klee, Paul",,,1987,,,344,
Q5T8YRCX,Ellsworth Kelly,Books,"Goossen, E. C.; Kelly, Ellsworth",0-87070-413-3,,1973,"Museum of Modern Art; distributed by New York Graphic Society, Greenwich, Conn",,Artist K,New York,"Kelly, Ellsworth",,,1973,,,127,
GPZ6ANMJ,"Sol Lewitt: the Museum of Modern Art, New York: [exhibition]",Books,"LeWitt, Sol; Legg, Alicia; Lippard, Lucy R.; Rose, Bernice; Rosenblum, Robert; Museum of Modern Art ",0-87070-427-3,,1978,The Museum,,Artist L,New York,"Exhibitions; LeWitt, Sol",,,1978,,,181,
EFPW6HVN,Andre Masson,Books,"Rubin, William; Lanchner, Carolyn",0-87070-464-8,,1976,Museum of Modern Art,,ARTIST - M,New York,"France; Biography; Painters; Masson, André",,,1976,,,232,
6E93M6NB,Mirrors and windows: American photography since 1960,Books,0,0-87070-475-3,,1978,Museum of Modern Art ; distributed by New York Graphic Society,,PHOTOGRAPHY,New York : Boston,"Exhibitions; Photography, Artistic",,,1978,,,152,
K2UYBV2U,The meanings of modern art,Books,"Russell, John",0-87070-477-X,,1974,Museum of Modern Art,,MODERN,New York,"19th century; 20th century; Art, Modern; Color in art; Emotions in art",,,1974,,,12,
IPTA9HPT,"The natural paradise: painting in America, 1800-1950: [exhibition], the Museum of Modern Art, New York",Books,0,0-87070-504-0,,1976,The Museum ; distributed by New York Graphic Society,,AMERICAN,New York : Boston,"In art; Exhibitions; 20th century; United States; Romanticism in art; Landscape painting, American",,,1976,,,178,
NDTA3GXD,Prints of the twentieth century: a history: with ill. from the collection of The Museum of Modern Art,Books,"Castleman, Riva; Museum of Modern Art (New York, N.Y.)",0-87070-520-2,,1976,The Museum : distributed by Oxford University Press,,MODERN,New York,20th century; Prints,,,1976,,,216,
WCD8AMSM,Henri Rousseau: essays,Books,0,0-87070-564-4,,1985,Museum of Modern Art ; Distributed by New York Graphic Society Books,,ARTIST - R,New York : Boston,"France; Exhibitions; Primitivism in art; Rousseau, Henri",,,1985,,,269,
R2JCP489,"The ""wild beasts"": Fauvism and its affinities",Books,"Elderfield, John; Kimbell Art Museum; Museum of Modern Art (New York, N.Y.); San Francisco Museum of",0-87070-639-X,,1976,Museum of Modern Art : distributed by Oxford University Press,,MODERN,New York,"Exhibitions; 20th century; Art, Modern; Fauvism",,,1976,,,167,
GPLNI97N,Ansel Adams: Yosemite and the Range of Light,Books,"Adams, Ansel",0-87070-649-7,,,,,ARTIST-A,,0,,,,,,,
5M2PK3YG,De Kooning: a retrospective,Books,"Elderfield, John; Coddington, James; De Kooning, Willem; Field, Jennifer; Frankel, David; Huisinga, ",0-87070-797-3,,2011,"The Museum of Modern Art : Distributed in the U.S. by D.A.P./Distributed Art Publishers, Inc",,ARTIST - D OVERSIZE,New York,"2011; Abstract expressionism; Ausstellung; De Kooning, Willem; Exhibitions; New York, NY",,,2011,,,504,
2IV7DXT4,Masterpieces of painting in the Metropolitan Museum of Art,Books,0,0-87099-015-2,,1970,Distributed by New York Graphic Society,,CATALOGUE,"Greenwich, Conn.",Exhibitions; Painting,,,1970,,,118,
7G8UQU3W,"American Impressionist and realist paintings and drawings from the collection of Mr. & Mrs. Raymond J. Horowitz: exhibited at the Metropolitan Museum of Art, 19 April through 3 June 1973",Books,"Pilgrim, Dianne H.; Metropolitan Museum of Art (New York, N.Y.)",0-87099-122-1,,1973,Metropolitan Museum of Art,,AMERICAN,[New York,"Impressionism (Art); Exhibitions; Painting, American; United States; Art collections; Realism in art; Drawing, American; Horowitz, Raymond J",,,1973,,,164,
P7JIUHDP,"Daniel Chester French, an American sculptor",Books,"Richman, Michael; French, Daniel Chester; Metropolitan Museum of Art (New York, N.Y.); National Trus",0-87099-153-1,,1976,Metropolitan Museum of Art for the National Trust for Historic Preservation,,ARTIST - F,New York,"French, Daniel Chester",,,1976,,,208,
NTX7E66J,"Treasures of early Irish art, 1500 B.C. to 1500 A.D: from the collections of the National Museum of Ireland, Royal Irish Academy, Trinity College, Dublin",Books,0,0-87099-164-7,,1977,Metropolitan Museum of Art,,EUROPEAN - BRITISH ISLES,[New York,"Exhibitions; Art, Ancient; Art, Medieval; Art, Irish; Art, Prehistoric; Ireland",,,1977,,,221,
GHQNGNBW,Monet's years at Giverny: beyond Impressionism,Books,"Monet, Claude; Metropolitan Museum of Art (New York, N.Y.)",0-87099-174-4,,1978,Metropolitan Museum of Art,,ARTIST - M,New York,"France; Impressionism (Art); Exhibitions; Post-impressionism (Art); France Giverny; Homes and haunts; Monet, Claude",,,1978,,,180,
Y6XF3R9C,Greek art of the Aegean Islands: an exhibition,Books,0,0-87099-216-3,,1979,Metropolitan Museum of Art,,ANCIENT,New York,"Exhibitions; Aegean Islands (Greece and Turkey); Antiquities Exhibitions; Art, Greek",,,1979,,,238,
GSSGZMFM,"Children, clay, and sculpture",Books,"Topal, Cathy Weisman",0-87192-145-6,,1983,Davis Publications,,K-12,"Worcester, Mass",Technique; Sculpture; Study and teaching (Elementary); Modeling,,,1983,,,122,
66UW7I7Z,Contemporary decorative arts from 1940 to the present,Books,"Garner, Philippe",0-87196-472-4,,1980,Facts On File,,DECORATIVE ARTS,"New York, N.Y",History; 20th century; Decoration and ornament; Design,,,1980,,,224,
ULIL4IA2,The kingdoms of Africa,Books,"Garlake, Peter S.",0-87226-234-0,,1990,Peter Bedrick Books,,AFRICAN,New York,Civilization; Antiquities; Africa,The Making of the past,1st American ed,1990,,,152,
MJI9SCU6,Egyptian Mythology,Books,"Ions, Veronica",0-87226-298-7,,1982,Peter Bedrick Books,,ANCIENT,,0,,,1982,,,,
997NG59I,Buffalo Bill and the Wild West,Books,0,0-87273-082-4,,1981,Brooklyn Museum ; Distributed by University of Pittsburgh Press,,AMERICAN,Brooklyn : [Pittsburgh],Biography; West (U.S.); Buffalo Bill; Pioneers,,,1981,,,96,
7SYJPAM3,Public and private: American prints today: 24th National Print Exhibition,Books,0,0-87273-104-9,,1986,Brooklyn Museum,,AMERICAN,New York,"Exhibitions; 20th century; Prints, American",,,1986,,,140,
EJJ8UCY7,Kindred spirits: Asher B. Durand and the American landscape,Books,0,0-87273-156-1,,2007,Brooklyn Museum ; In association with D Giles Limited,,ARTIST - D,New York : London,"Asher Brown; Durand, A. B; Exhibitions; Landscapes in art",,,2007,,,256,
Q9QKHGAQ,Jean Metzinger in retrospect,Books,"Moser, Joann; Metzinger, Jean; Robbins, Daniel; University of Iowa",0-87414-038-2,,1985,University of Iowa Museum of Art ; Distribution by the University of Washington Press,,ARTIST - M,Iowa City : [Seattle],"France; Exhibitions; Cubism; Metzinger, Jean",,1st ed,1985,,,128,
3ZL72U3B,"Neil Welliver: paintings, 1966-1980: [exhibition]",Books,0,0-87451-207-7,,1981,Currier Gallery of Art ; distributed by the University Press of New England,,ARTIST - W,"Manchester, N.H. : Hanover, N.H","Exhibitions; Welliver, Neil",,,1981,,,90,
XGQKRTEN,"An American perspective: nineteenth-century art from the collection of Jo Ann & Julian Ganz, Jr",Books,0,0-87451-221-2,,1981,National Gallery of Art,,AMERICAN,Washington,"19th century; Exhibitions; Art collections; Art, American; Ganz, Jo Ann; Ganz, Julian",,,1981,,,180,
MUIPZAGT,Icons: ideals and power in the art of Africa,Books,"Cole, Herbert M.; National Museum of African Art (U.S.)",0-87474-320-6,,1990,Published for the National Museum of African Art by the Smithsonian Institution Press,,AFRICAN,Washington,"Exhibitions; Africa, Sub-Saharan; Art, Black; Black people in art",,,1990,,,207,
Z4CCIMR9,Albert Pinkham Ryder,Books,"Broun, Elizabeth; Jones, Eleanor L.; Ryder, Albert Pinkham; Brooklyn Museum; National Museum of Amer",0-87474-327-3,,1989,Published for the National Museum of American Art by the Smithsonian Institution Press,,ARTIST - R,Washington,"Exhibitions; Ryder, Albert Pinkham",,,1989,,,344,
M7DVVBKC,Treasures from the National Museum of American Art,Books,0,0-87474-594-2,,1985,National Museum of American Art ; Smithsonian Institution Press,,AMERICAN,"Washington : Baltimore, Md","Art; Washington (D.C.); Catalogs; Art, American; National Museum of American Art (U.S.)",,,1985,,,254,
TFW8D9B7,The Art of West African kingdoms,Books,0,0-87474-611-6,,1987,"Published for the National Museum of African Art, by the Smithsonian Institution Press",,AFRICAN,"Washington, D.C","Themes, motives; Art, West African",,,1987,,,48,
YAYWGXA8,African art in the cycle of life,Books,"Sieber, Roy; Walker, Roslyn A.; National Museum of African Art (U.S.)",0-87474-821-6,,1987,Published for the National Museum of African Art by the Smithsonian Press,,AFRICAN,"Washington, D.C","Exhibitions; Art and society; Africa, Sub-Saharan; Sculpture, African",,,1987,,,155,
HWVV2PMG,"Women artists, 1550-1950",Books,"Harris, Ann Sutherland; Nochlin, Linda; Los Angeles County Museum of Art",0-87587-073-2,,1976,Los Angeles County Museum of Art ; distributed by Random House,,GENERAL HISTORY,Los Angeles : New York,"Exhibitions; Art, Modern; Women artists",,1st ed,1976,,,368,
F7CUY4ME,"American portraiture in the grand manner, 1720-1920",Books,0,0-87587-104-6,,1981,Los Angeles County Museum of Art,,ND1311 .A47,"Los Angeles, Calif","Exhibitions; Portrait painting, American; Portraits, American",,,1981,,,228,
2X6JD9B9,"American portraiture in the grand manner, 1720-1920",Books,0,0-87587-104-6,,1981,Los Angeles County Museum of Art,,AMERICAN,"Los Angeles, Calif","Exhibitions; Portrait painting, American; Portraits, American",,,1981,,,228,
GTHVIDDQ,The Spiritual in art: abstract painting 1890-1985,Books,0,0-87587-130-5,,1986,Abbeville Press,,MODERN,New York,"19th century; Exhibitions; 20th century; Painting, Abstract; Painting, Modern",,,1986,,,435,
C4Z5EGMD,"Philadelphia, three centuries of American art: Bicentennial exhibition, April 11-October 10, 1976: [catalogue]",Books,0,0-87633-016-2,,1976,Philadelphia Museum of Art,,AMERICAN,Philadelphia,"Exhibitions; Art; Art, American; Pennsylvania Philadelphia",,,1976,,,665,
E6FRPK7J,Thomas Eakins: artist of Philadelphia,Books,"Sewell, Darrel; Eakins, Thomas; Philadelphia Museum of Art",0-87633-047-2,,1982,Philadelphia Museum of Art,,ARTIST - E,Philadelphia,"Biography; Eakins, Thomas; Exhibitions; Painters; Pennsylvania; Philadelphia (Pa.)",,,1982,,,136,
HWKLZGWX,"The Pennsylvania Germans: a celebration of their arts, 1683-1850",Books,0,0-87633-048-0,,1982,Philadelphia Museum of Art,,DECORATIVE ARTS,Philadelphia,"Exhibitions; Pennsylvania; Folk art; Decorative arts; Art, Pennsylvania Dutch",,,1982,,,196,
